"","imdb","iw","original_title","year","genre","country","language","description","avg_vote","votes","budget","log_budget","usa_gross_income","log_usa_gross_income","worldwide_gross_income","log_worldwide_gross_income","metascore","reviews_from_users","reviews_from_critics","ope","con","ext","agr","neu","age","gender","relation","duration","genre_family","genre_fantasy","genre_sport","genre_biography","genre_crime","genre_romance","genre_animation","genre_music","genre_comedy","genre_war","genre_sci.fi","genre_horror","genre_western","genre_thriller","genre_mystery","genre_drama","genre_action","genre_history","genre_documentary","genre_musical","genre_adventure"
"4306","tt0286788","0","What a Girl Wants",2003,"Comedy, Drama, Family","USA, UK","English","An American teenager learns that her father is a wealthy British politician running for office. Although she is eager to find him, she realizes it could cause a scandal and cost him the election.",5.8,58492,207,5.33271879326537,36105433,17.4019539105943,50732139,17.7420701730537,41,219,64,-0.0533,-0.0689,-0.0746,0.0184,-0.0431,20.1467,0.9425,0.3679,105,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"4307","tt0287467","0","Hable con ella",2002,"Drama, Mystery, Romance","Spain","Spanish","Two men share an odd friendship while they care for two women who are both in deep comas.",7.9,102798,NA,NA,9357911,16.0517326397839,64790996,17.9866772010507,86,272,90,NA,NA,NA,NA,NA,NA,NA,NA,112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4308","tt0287635","0","Poketto monsutâ: Serebî - Toki wo koeta deai",2001,"Animation, Action, Adventure","Japan","Japanese","Ash must stop a hunter who forces the mythical Pokémon Celebi to help him destroy a forest.",5.7,7661,NA,NA,1727447,14.3621551539797,28023563,17.1485562499611,NA,35,16,NA,NA,NA,NA,NA,NA,NA,NA,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4309","tt0287717","1","Spy Kids 2: Island of Lost Dreams",2002,"Action, Adventure, Comedy","USA","English","The Cortez siblings set out for a mysterious island, where they encounter a genetic scientist and a set of rival spy kids.",5.2,59287,NA,NA,85846429,18.268070548636,119723358,18.6006942893359,66,115,105,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4310","tt0287978","0","Daredevil",2003,"Action, Crime","USA, China","English, Greek, Italian","A man blinded by toxic waste which also enhanced his remaining senses fights crime as an acrobatic martial arts superhero.",5.3,204269,NA,NA,102543518,18.4457978322938,179179718,19.0038998712961,42,1048,287,NA,NA,NA,NA,NA,NA,NA,NA,103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4311","tt0288045","0","The Medallion",2003,"Action, Comedy, Fantasy","Hong Kong, USA","English","A Hong Kong detective suffers a fatal accident involving a mysterious medallion and is transformed into an immortal warrior with superhuman powers.",5.3,38532,NA,NA,22219192,16.9164669778782,34268701,17.3497429882593,38,133,98,NA,NA,NA,NA,NA,NA,NA,NA,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4312","tt0288439","0","Bang Bang You're Dead",2002,"Crime, Drama, Thriller","USA, Canada","English","Trevor is a troubled high school student, thanks to the effects of bullying. This is the story of his fight to break free.",7.8,12328,NA,NA,NA,NA,NA,NA,NA,80,11,NA,NA,NA,NA,NA,NA,NA,NA,93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4313","tt0288477","0","Ghost Ship",2002,"Horror","USA, Australia","English, Italian, Spanish","A salvage crew discovers a long-lost 1962 passenger ship floating lifeless in a remote region of the Bering Sea, and soon notices that its long-dead inhabitants may still be on board.",5.5,91847,NA,NA,30113491,17.2204838352849,68349884,18.0401504239858,28,502,170,NA,NA,NA,NA,NA,NA,NA,NA,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4314","tt0289043","0","28 Days Later...",2002,"Action, Drama, Horror","UK, Spain","English, Spanish","Four weeks after a mysterious, incurable virus spreads throughout the UK, a handful of survivors try to find sanctuary.",7.6,369508,806,6.69208374250663,45064915,17.6236145638064,85720385,18.2666012199268,73,1521,135,0.5283,-0.306,-0.3231,-0.2391,-0.08,22.3438,0.4906,0.4578,113,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0
"4315","tt0289408","0","The Powerpuff Girls Movie",2002,"Animation, Action, Adventure","USA","English","The movie shows the origin of the Powerpuff Girls before the cartoon series. It explains why they were born and why they dedicated their lives to fighting crime and the forces of evil.",6.6,9102,NA,NA,11412414,16.25021226826,16426471,16.6144046769245,65,76,50,NA,NA,NA,NA,NA,NA,NA,NA,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4316","tt0289635","0","Young Adam",2003,"Crime, Drama","UK, France","English","A young drifter working on a river barge disrupts his employers' lives while hiding the fact that he knows more about a dead woman found in the river than he admits.",6.4,13133,NA,NA,767373,13.5507282724387,2561820,14.7562285013594,67,118,109,NA,NA,NA,NA,NA,NA,NA,NA,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
